
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[00:39:19.600 --> 00:39:20.440]   Codeium.
[00:39:20.440 --> 00:39:21.280]   - Yeah.
[00:39:21.280 --> 00:39:23.400]   - Anything moving there or anything that people should know about?
[00:39:23.400 --> 00:39:26.160]   - I think a lot are still moving there, right?
[00:39:26.160 --> 00:39:27.960]   I think it would be a little bit like, you know,
[00:39:27.960 --> 00:39:29.400]   very kind of egotistical as to being like,
[00:39:29.400 --> 00:39:30.440]   oh, we have Winsurf now,
[00:39:30.440 --> 00:39:31.840]   all of our enterprise customers are gonna switch
[00:39:31.840 --> 00:39:33.320]   to Winsurf and this is the only, like,
[00:39:33.320 --> 00:39:34.360]   you know, we still support each other.
[00:39:34.360 --> 00:39:36.720]   - I was gonna say, you just talked about your Java guys
[00:39:36.720 --> 00:39:38.720]   loving JetBrains, they're never gonna leave JetBrains.
[00:39:38.720 --> 00:39:40.640]   - They're not like, I mean, forget JetBrains.
[00:39:40.640 --> 00:39:43.240]   There's still tons and tons of enterprise people on Eclipse.
[00:39:43.240 --> 00:39:45.320]   Like we're still the only code assistant
[00:39:45.320 --> 00:39:46.480]   that has an extension of Eclipse.
[00:39:46.480 --> 00:39:48.720]   That's still true, it years in, right?
[00:39:48.720 --> 00:39:50.680]   But like, that's 'cause that's our enterprise customers.
[00:39:50.680 --> 00:39:52.600]   And the way that we always think about it is like,
[00:39:52.600 --> 00:39:54.680]   how do we still maximize the value of AI
[00:39:54.680 --> 00:39:55.520]   for every developer?
[00:39:55.520 --> 00:39:58.320]   I don't think that part of who we are has changed
[00:39:58.320 --> 00:39:59.480]   since the beginning, right?
[00:39:59.480 --> 00:40:01.160]   And there's a lot of like meeting the developers
[00:40:01.160 --> 00:40:02.000]   where they are.
[00:40:02.000 --> 00:40:03.080]   So I think on the enterprise side,
[00:40:03.080 --> 00:40:05.160]   we're still pretty invested in doing that.
[00:40:05.160 --> 00:40:07.560]   We have like a team of engineers dedicated just
[00:40:07.560 --> 00:40:08.680]   to making enterprise successful
[00:40:08.680 --> 00:40:10.440]   and thinking about the enterprise problems.
[00:40:10.440 --> 00:40:11.400]   But really, if we think about it
[00:40:11.400 --> 00:40:13.200]   from the really macro perspective,
[00:40:13.200 --> 00:40:15.560]   it's like, if we can solve all the enterprise models
[00:40:15.560 --> 00:40:18.040]   for an enterprise and we have products
[00:40:18.040 --> 00:40:21.360]   that developers themselves just truly, truly love,
[00:40:21.360 --> 00:40:23.240]   then we're solving the problem from both sides.
[00:40:23.240 --> 00:40:24.800]   And I think it's one of those things
[00:40:24.800 --> 00:40:26.880]   where I think when we started working with the enterprise
[00:40:26.880 --> 00:40:28.320]   and we started building like dev tools, right?
[00:40:28.320 --> 00:40:29.440]   We started as an infrastructure company,
[00:40:29.440 --> 00:40:32.920]   now we're not building dev tools for developers.
[00:40:32.920 --> 00:40:35.560]   You really quickly understand and realize just
[00:40:35.560 --> 00:40:37.840]   how much developers loving the tool
[00:40:37.840 --> 00:40:39.720]   make us successful in an enterprise.
[00:40:39.720 --> 00:40:41.680]   There's a lot of enterprise software that developers--
[00:40:41.680 --> 00:40:42.880]   - I wanna draw this flywheel.
[00:40:42.880 --> 00:40:45.400]   - But like, we're giving a tool for people
[00:40:45.400 --> 00:40:47.440]   where they're doing their most important work.
[00:40:47.440 --> 00:40:48.360]   They have to love it.
[00:40:48.360 --> 00:40:50.960]   And it's not like, we're like trying to convince,
[00:40:50.960 --> 00:40:52.280]   the executives at this company
[00:40:52.280 --> 00:40:54.320]   also ask their developers, "What, do you love this?"
[00:40:54.320 --> 00:40:56.800]   Like, that is like almost always a key aspect
[00:40:56.800 --> 00:40:58.120]   of whether or not Codium is accepting
[00:40:58.120 --> 00:41:00.000]   or like into the organization.
[00:41:00.000 --> 00:41:02.560]   I don't think we go from zero to 10 million ARR
[00:41:02.560 --> 00:41:04.400]   in less than a year in an enterprise product
[00:41:04.400 --> 00:41:06.160]   if we don't have a product that developers love.
[00:41:06.160 --> 00:41:07.960]   So I think that's why we're just,
[00:41:07.960 --> 00:41:10.480]   the IDE is more of a developer love kind of play.
[00:41:10.480 --> 00:41:12.200]   It will eventually make it to the enterprise.
[00:41:12.200 --> 00:41:13.440]   We still saw the enterprise problems.
[00:41:13.440 --> 00:41:15.760]   And again, we could be completely wrong about this,
[00:41:15.760 --> 00:41:17.520]   but we hope we're solving the better problems.
[00:41:17.520 --> 00:41:19.520]   - It's interesting to ask you this before
[00:41:19.520 --> 00:41:21.720]   we started rolling, but like, it's the same team,
[00:41:21.720 --> 00:41:22.840]   that's the same engine team.
[00:41:22.840 --> 00:41:25.480]   Like I, in any normal company,
[00:41:25.480 --> 00:41:28.400]   or like my normal mental model of company construction,
[00:41:28.400 --> 00:41:31.320]   if you were to have like effectively two products like this,
[00:41:31.320 --> 00:41:32.600]   like you would have two different teams
[00:41:32.600 --> 00:41:34.880]   serving two different needs, but it's the same team.
[00:41:34.880 --> 00:41:36.200]   - Yeah, I think one of the things
[00:41:36.200 --> 00:41:38.320]   that's maybe unique about our company is like,
[00:41:38.320 --> 00:41:41.120]   this has not been one company the whole time, right?
[00:41:41.120 --> 00:41:43.960]   Like we were first, like this GP virtualization company
[00:41:43.960 --> 00:41:45.000]   pivoted to this.
[00:41:45.000 --> 00:41:46.840]   And then after that, we're making some changes.
[00:41:46.840 --> 00:41:49.960]   And like, I think there's like a versatility of the company.
[00:41:49.960 --> 00:41:53.680]   And like this ability to move where we think the instinct,
[00:41:53.680 --> 00:41:55.240]   we have this instinct where, and by the way,
[00:41:55.240 --> 00:41:56.080]   the instinct could be wrong.
[00:41:56.080 --> 00:41:58.320]   But if we smell something, we're going to move fast.
[00:41:58.320 --> 00:41:59.800]   And I think it's more testament to,
[00:41:59.800 --> 00:42:02.520]   I think the engine team, rather than any one of us.
[00:42:02.520 --> 00:42:06.200]   - I'm sure you had December 19, 2022,
[00:42:06.200 --> 00:42:08.520]   you had one of our guest posts,
[00:42:08.520 --> 00:42:11.280]   what building Co-Pilot correctly takes?
[00:42:11.280 --> 00:42:14.040]   - Estimate inference to figure out latency quality.
[00:42:14.040 --> 00:42:17.040]   - Bill first party, instead of using third party as API,
[00:42:17.040 --> 00:42:22.040]   figure out real time because chat GBT and Dali, Dali are too slow.
[00:42:22.040 --> 00:42:26.040]   Optimize prompt because context windows limited,
[00:42:26.040 --> 00:42:27.880]   which is maybe not that true anymore.
[00:42:27.880 --> 00:42:30.640]   And then merge model outputs with the UX
[00:42:30.640 --> 00:42:32.560]   to make the product more intuitive.
[00:42:32.560 --> 00:42:34.360]   Is there anything you would add?
[00:42:34.360 --> 00:42:36.520]   - I think myself like a B minus on that.
[00:42:36.520 --> 00:42:37.360]   - Yeah, no, it's pretty good.
[00:42:37.360 --> 00:42:38.560]   - Like some parts of that are accurate,
[00:42:38.560 --> 00:42:39.960]   even like the context like one that you call that,
[00:42:39.960 --> 00:42:42.160]   like yeah, models have like larger context like now,
[00:42:42.160 --> 00:42:43.240]   that's absolutely true.
[00:42:43.240 --> 00:42:45.960]   Like it's grown a lot, but look at like an enterprise code base.
[00:42:45.960 --> 00:42:47.280]   They have like, you know,
[00:42:47.280 --> 00:42:48.480]   tens of millions of lines of code
[00:42:48.480 --> 00:42:50.680]   that's hundreds of billions of tokens of code.
[00:42:50.680 --> 00:42:51.760]   - Never going to change.
[00:42:51.760 --> 00:42:53.920]   - It's still being really good at like being able to piece
[00:42:53.920 --> 00:42:55.800]   together, this like distribute knowledge was important.
[00:42:55.800 --> 00:42:57.880]   So I think like there are figures there that are still
[00:42:57.880 --> 00:42:58.800]   pretty accurate.
[00:42:58.800 --> 00:43:00.880]   There's probably some that are, you know, less so.
[00:43:00.880 --> 00:43:01.720]   - First party versus third party.
[00:43:01.720 --> 00:43:02.560]   - First party versus third party.
[00:43:02.560 --> 00:43:03.640]   I think we're like, we're wrong there.
[00:43:03.640 --> 00:43:04.480]   - I got it wrong.
[00:43:04.480 --> 00:43:06.160]   - I think I would nuance that to be like,
[00:43:06.160 --> 00:43:07.680]   there are certain things that it's really important
[00:43:07.680 --> 00:43:09.320]   to first party like, you know, autocomplete,
[00:43:09.320 --> 00:43:12.280]   you have a really specific application that you can't just
[00:43:12.280 --> 00:43:14.760]   prompt engineer your way out of or just maybe even like,
[00:43:14.760 --> 00:43:15.600]   fine tune afterwards.
[00:43:15.600 --> 00:43:16.840]   Like you just can't do that.
[00:43:16.840 --> 00:43:18.240]   I think there's truth there, but like,
[00:43:18.240 --> 00:43:19.080]   that's also be realistic.
[00:43:19.080 --> 00:43:20.920]   Like the stuff that's coming out for the third model
[00:43:20.920 --> 00:43:23.200]   providers like cascade and winsurf would not have been
[00:43:23.200 --> 00:43:26.480]   possible if it wasn't for the rapid improvements with
[00:43:26.480 --> 00:43:27.640]   4.0 and 3.5 song.
[00:43:27.640 --> 00:43:29.120]   Like that just wouldn't have been possible.
[00:43:29.120 --> 00:43:31.000]   So I'll give myself a B minus.
[00:43:31.000 --> 00:43:33.000]   I'll say I passed, but yes.
[00:43:33.000 --> 00:43:36.040]   - I don't think, just to be clear, we're not grading.
[00:43:36.040 --> 00:43:38.840]   It's more of a, what would you, you know,
[00:43:38.840 --> 00:43:40.920]   but where are they now, you know, what would you add it?
[00:43:40.920 --> 00:43:41.840]   What would you like?
[00:43:41.840 --> 00:43:43.600]   - Yeah, I mean, like that first post, right?
[00:43:43.600 --> 00:43:45.440]   Like that was when we had literally had,
[00:43:45.440 --> 00:43:47.720]   I think that was like a few weeks after we had launched
[00:43:47.720 --> 00:43:48.560]   Chodeon.
[00:43:48.560 --> 00:43:50.360]   I think that's like, you know, so we're talking like,
[00:43:50.360 --> 00:43:51.920]   maybe we can write this cause we're like one of the first
[00:43:51.920 --> 00:43:53.280]   products that people can actually use in the AI.
[00:43:53.280 --> 00:43:54.120]   That's cool.
[00:43:54.120 --> 00:43:56.480]   - I specifically like the co-pilot for X thing.
[00:43:56.480 --> 00:43:57.800]   Cause everyone is so hot.
[00:43:57.800 --> 00:43:58.640]   Like everyone wanted to do co-pilot.
[00:43:58.640 --> 00:43:59.840]   - Everyone was just like, you know,
[00:43:59.840 --> 00:44:01.800]   chat to PT, that's all that was.
[00:44:01.800 --> 00:44:03.360]   So, but I think like, you know,
[00:44:03.360 --> 00:44:04.880]   that we didn't have an enterprise product.
[00:44:04.880 --> 00:44:06.640]   I don't even think we were like necessarily thinking
[00:44:06.640 --> 00:44:08.440]   of an enterprise product at that point, right?
[00:44:08.440 --> 00:44:11.000]   So like all of the learnings that like, you know,
[00:44:11.000 --> 00:44:12.720]   we've had from the enterprise perspective,
[00:44:12.720 --> 00:44:13.960]   which is why I loved coming back
[00:44:13.960 --> 00:44:16.400]   for like a third time now and on the blog.
[00:44:16.400 --> 00:44:18.760]   Some of those, I think we kind of like figured,
[00:44:18.760 --> 00:44:21.800]   some of those we just honestly walked backwards into,
[00:44:21.800 --> 00:44:23.200]   had to get lucky a lot of the ways.
[00:44:23.200 --> 00:44:26.040]   Like we had many, we just did a lot.
[00:44:26.040 --> 00:44:28.280]   Like there's so many of like opportunities and deals
[00:44:28.280 --> 00:44:30.480]   that we had that we like lost for a variety of reasons
[00:44:30.480 --> 00:44:31.920]   that we had to like learn from.
[00:44:31.920 --> 00:44:34.280]   There's just so much more to add that there's no way
[00:44:34.280 --> 00:44:35.760]   I would have gotten that right in trying to try to.
[00:44:35.760 --> 00:44:37.760]   - Can I mention one thing that I think is,
[00:44:37.760 --> 00:44:39.880]   hopefully this is not very controversial,
[00:44:39.880 --> 00:44:42.080]   but it's like true about our engineering team as a whole.
[00:44:42.080 --> 00:44:45.160]   I don't think most of us got much value from Chaju BTF.
[00:44:45.160 --> 00:44:47.000]   Largely because I think the problem was,
[00:44:47.000 --> 00:44:49.000]   and this is maybe a little bit of a different thing,
[00:44:49.000 --> 00:44:51.000]   it's like a lot of the engineers at the company
[00:44:51.000 --> 00:44:53.440]   who have been writing software for like over eight years.
[00:44:53.440 --> 00:44:54.720]   And this is not to say they know everything
[00:44:54.720 --> 00:44:56.520]   that Chaju BT knows, they don't.
[00:44:56.520 --> 00:44:58.760]   They'd already gone good enough
[00:44:58.760 --> 00:45:00.960]   at searching for Stack Overflow.
[00:45:00.960 --> 00:45:04.080]   Invested a lot in searching code base, right?
[00:45:04.080 --> 00:45:06.120]   They can very quickly grab through the code.
[00:45:06.120 --> 00:45:07.600]   Incredibly fast, like every tool.
[00:45:07.600 --> 00:45:10.280]   And they've spent like eight years mastering that skill.
[00:45:10.280 --> 00:45:12.280]   And Chaju BT being this thing on the side
[00:45:12.280 --> 00:45:14.080]   that you need to provide a lot of context to.
[00:45:14.080 --> 00:45:16.800]   We were not able to actually get like my co-founder
[00:45:16.800 --> 00:45:18.800]   just basically never used Chaju BTF at all.
[00:45:18.800 --> 00:45:19.920]   Literally never did.
[00:45:19.920 --> 00:45:21.960]   And because of that, probably at the time,
[00:45:21.960 --> 00:45:25.080]   one of our incorrect sort of assumptions was probably that,
[00:45:25.080 --> 00:45:27.000]   hey, like a lot of these passive systems need to get good
[00:45:27.000 --> 00:45:27.840]   because they're always there
[00:45:27.840 --> 00:45:29.680]   and these active systems are gonna be behind.
[00:45:29.680 --> 00:45:32.120]   I think actually, Cascade was the big thing.
[00:45:32.120 --> 00:45:34.000]   Is there a company where everyone is now using?
[00:45:34.000 --> 00:45:35.760]   Literally everyone, biggest skeptics.
[00:45:35.760 --> 00:45:36.920]   And we have a lot of people at the company
[00:45:36.920 --> 00:45:38.400]   that are skeptical of AI.
[00:45:38.400 --> 00:45:39.240]   - I think this is actually--
[00:45:39.240 --> 00:45:40.080]   - Why did I hire them?
[00:45:40.080 --> 00:45:42.280]   - No, I think, here's the important thing.
[00:45:42.280 --> 00:45:44.120]   Those people that were skeptical about AI
[00:45:44.120 --> 00:45:46.000]   previously worked in autonomous vehicles.
[00:45:46.000 --> 00:45:47.200]   These are not crypto people.
[00:45:47.200 --> 00:45:49.160]   These are people that care about technology
[00:45:49.160 --> 00:45:50.400]   and want to work on the future.
[00:45:50.400 --> 00:45:52.640]   Their bar for good is just very high.
[00:45:52.640 --> 00:45:55.600]   They will not form a cult of, this is awesome,
[00:45:55.600 --> 00:45:56.520]   this is gonna change the world.
[00:45:56.520 --> 00:45:58.120]   They were not gonna be the kind of people on Twitter
[00:45:58.120 --> 00:45:58.960]   that are like--
[00:45:58.960 --> 00:45:59.800]   - Wag me.
[00:45:59.800 --> 00:46:00.880]   - Yeah, this changes everything.
[00:46:00.880 --> 00:46:02.420]   Like, software as we know it is dead.
[00:46:02.420 --> 00:46:04.720]   No, there are people that are gonna be incredibly honest.
[00:46:04.720 --> 00:46:07.440]   And we know if we hit the bar that is good for them,
[00:46:07.440 --> 00:46:08.680]   we found something special.
[00:46:08.680 --> 00:46:10.200]   And I think at that time,
[00:46:10.200 --> 00:46:12.240]   we probably had a lot of sentiment like that.
[00:46:12.240 --> 00:46:13.640]   That has changed a lot now.
[00:46:13.640 --> 00:46:15.640]   And I think it's actually important that you have
[00:46:15.640 --> 00:46:18.200]   believers that are incredibly future looking
[00:46:18.200 --> 00:46:20.080]   and people that kind of reined it.
[00:46:20.080 --> 00:46:21.480]   'Cause otherwise you just have,
[00:46:21.480 --> 00:46:23.040]   you know, this is like autonomous vehicles.
[00:46:23.040 --> 00:46:25.320]   You have a very discreet problem.
[00:46:25.320 --> 00:46:27.120]   People are just working in a vacuum
[00:46:27.120 --> 00:46:29.720]   and there's no signal to kind of bring you down to reality.
[00:46:29.720 --> 00:46:31.880]   But you have no good way to kill ideas.
[00:46:31.880 --> 00:46:33.560]   And there are a lot of ideas we're gonna come up with
[00:46:33.560 --> 00:46:34.960]   that are just terrible ideas.
[00:46:34.960 --> 00:46:36.320]   But we need to come up with terrible ideas.
[00:46:36.320 --> 00:46:37.960]   Otherwise, like, how does anything good come on?
[00:46:37.960 --> 00:46:39.160]   And I don't wanna call these skeptics.
[00:46:39.160 --> 00:46:40.680]   Skeptics suggest that they don't know.
[00:46:40.680 --> 00:46:41.720]   They're realists.
[00:46:41.720 --> 00:46:43.320]   They're the type of people that when they see
[00:46:43.320 --> 00:46:45.760]   waitlist on a product online, they just will not believe it.
[00:46:45.760 --> 00:46:47.120]   They will not think about it at all.
[00:46:47.120 --> 00:46:48.960]   - Kudos for launching without a waitlist, yeah.
[00:46:48.960 --> 00:46:51.560]   - Yeah, by the way, we will never launch with a waitlist.
[00:46:51.560 --> 00:46:52.600]   We will never launch with a waitlist.
[00:46:52.600 --> 00:46:53.680]   So that's the thing at the company.
[00:46:53.680 --> 00:46:55.360]   We'd much rather be a company that's considered
[00:46:55.360 --> 00:46:58.560]   the boring company than a company that launches once in a while
[00:46:58.560 --> 00:46:59.400]   and like, hopefully it's good.
[00:46:59.400 --> 00:47:00.800]   - My joke is,
[00:47:00.800 --> 00:47:02.920]   generative AI has really gotten really good
[00:47:02.920 --> 00:47:04.080]   at generating waitlists.
[00:47:04.080 --> 00:47:04.920]   - Yeah.
[00:47:04.920 --> 00:47:05.760]   - That's really good.
[00:47:05.760 --> 00:47:07.000]   - Also, just to clarify, both of us used
[00:47:07.000 --> 00:47:09.200]   to work in a task vehicle so that it doesn't come across.
[00:47:09.200 --> 00:47:11.560]   - Oh yeah, yes, yes, yes, yes.
[00:47:11.560 --> 00:47:13.520]   - We love that technology.
[00:47:13.520 --> 00:47:14.360]   - We love it.
[00:47:14.360 --> 00:47:15.680]   Like, I love hard technology problems.
[00:47:15.680 --> 00:47:16.840]   That's what I live for.
[00:47:16.840 --> 00:47:18.240]   - Amazing.
[00:47:18.240 --> 00:47:19.720]   Just push back on the first party thing.
[00:47:19.720 --> 00:47:23.640]   I accept that the large model labs have just like done
[00:47:23.640 --> 00:47:27.040]   a lot of work for you that you didn't need to duplicate.
[00:47:27.040 --> 00:47:30.880]   But you now are sitting on so much proprietary data
[00:47:30.880 --> 00:47:34.720]   that it's maybe worth training on the trajectories
[00:47:34.720 --> 00:47:35.720]   that you're collecting.
[00:47:35.720 --> 00:47:38.280]   So maybe it's a pendulum back to first party.
[00:47:38.280 --> 00:47:39.560]   - Yeah, I mean, I think like,
[00:47:39.560 --> 00:47:40.640]   I mean, we've been pretty clear
[00:47:40.640 --> 00:47:42.200]   from like a security posture perspective.
[00:47:42.200 --> 00:47:44.280]   Like, I think there's like both like, you know,
[00:47:44.280 --> 00:47:46.160]   customer trust and like--
[00:47:46.160 --> 00:47:47.400]   - I mean, I kind of want, like let me opt in.
[00:47:47.400 --> 00:47:49.520]   - I think that there is signals that we do get
[00:47:49.520 --> 00:47:51.040]   from our users that we can utilize.
[00:47:51.040 --> 00:47:52.480]   Like there's a lot of preference information
[00:47:52.480 --> 00:47:53.320]   that we get for example.
[00:47:53.320 --> 00:47:54.440]   - Which is effectively what you're saying
[00:47:54.440 --> 00:47:55.800]   of like our trajectories.
[00:47:55.800 --> 00:47:56.640]   - Go ahead.
[00:47:56.640 --> 00:47:58.200]   - We, like I will say this,
[00:47:58.200 --> 00:47:59.720]   the super complete product that we have
[00:47:59.720 --> 00:48:01.200]   has gone materially better
[00:48:01.200 --> 00:48:03.680]   because of us not only using synthetic data,
[00:48:03.680 --> 00:48:06.200]   but also getting the preference data from our users
[00:48:06.200 --> 00:48:08.560]   of like, hey, given me a set of trajectories,
[00:48:08.560 --> 00:48:10.200]   here's actually what a good outcome is.
[00:48:10.200 --> 00:48:12.080]   And in fact, one of the really beautiful parts
[00:48:12.080 --> 00:48:14.760]   about our product that is very different than it's at GPT
[00:48:14.760 --> 00:48:17.360]   is we can not only see if the acceptance happened,
[00:48:17.360 --> 00:48:18.960]   but if something more than the acceptance happened
[00:48:18.960 --> 00:48:20.840]   and it happened even more than that, right?
[00:48:20.840 --> 00:48:22.200]   Like let's say you accepted it,
[00:48:22.200 --> 00:48:23.240]   but then after accepting it,
[00:48:23.240 --> 00:48:25.720]   you deleted three or four items in there.
[00:48:25.720 --> 00:48:26.800]   We can see that.
[00:48:26.800 --> 00:48:28.080]   So that actually lets us get
[00:48:28.080 --> 00:48:31.920]   to even better than than acceptance as a metric.
[00:48:31.920 --> 00:48:35.080]   Because we're in the ultimate work output of the developer.
[00:48:35.080 --> 00:48:36.600]   - It's the preference between the acceptance
[00:48:36.600 --> 00:48:37.520]   and what actually happened.
[00:48:37.520 --> 00:48:38.960]   If you can actually get ground truth
[00:48:38.960 --> 00:48:40.160]   at what actually happened,
[00:48:40.160 --> 00:48:41.680]   this is the beauty of being an ID,
[00:48:41.680 --> 00:48:43.600]   then like, yeah, you get a lot of lot of information there.
[00:48:43.600 --> 00:48:46.760]   - Did you get it with the extension or is this pure windsurf?
[00:48:46.760 --> 00:48:48.000]   - We had this with the extension.
[00:48:48.000 --> 00:48:49.160]   - Yeah, okay, great.
[00:48:49.160 --> 00:48:50.640]   The windsurf just gives you more of the ID.
[00:48:50.640 --> 00:48:51.480]   - Yes.
[00:48:51.480 --> 00:48:54.120]   So that means you can also start getting more information.
[00:48:54.120 --> 00:48:56.320]   Like for instance, the basic thing that Untrel said,
[00:48:56.320 --> 00:48:58.760]   we can see if like a file explorer was open.
[00:48:58.760 --> 00:49:00.280]   It's actually just a piece of information
[00:49:00.280 --> 00:49:01.880]   we just cannot see previously.
[00:49:01.880 --> 00:49:02.720]   - Sure, yeah.
[00:49:02.720 --> 00:49:05.000]   - A lot of intent in there, a lot of intent.
[00:49:05.000 --> 00:49:05.840]   - Second one.
[00:49:05.840 --> 00:49:06.680]   - Oh boy.
[00:49:06.680 --> 00:49:07.880]   - How to make a UX remote.
[00:49:07.880 --> 00:49:10.560]   - Oh man, isn't that funny that we now created
[00:49:10.560 --> 00:49:12.200]   like the full UX experience of an ID?
[00:49:12.200 --> 00:49:14.240]   I think that one is pretty accurate.
[00:49:14.240 --> 00:49:15.080]   - It was an A?
[00:49:15.080 --> 00:49:16.240]   - I think that one I'll give myself.
[00:49:16.240 --> 00:49:18.880]   I think like we were doing that within the extension.
[00:49:18.880 --> 00:49:19.720]   I still think that's true
[00:49:19.720 --> 00:49:20.720]   within the extensions as well, right?
[00:49:20.720 --> 00:49:22.960]   Like we got very, very creative with things.
[00:49:22.960 --> 00:49:24.760]   Like we weren't mentioning the idea of just like,
[00:49:24.760 --> 00:49:26.880]   essentially rendering images to display things.
[00:49:26.880 --> 00:49:28.640]   Like we get creative to figure out
[00:49:28.640 --> 00:49:29.880]   what the right UX is doing there.
[00:49:29.880 --> 00:49:32.280]   Like we could create a really like dumb UX
[00:49:32.280 --> 00:49:33.720]   that's like a side panel, like whatever.
[00:49:33.720 --> 00:49:36.040]   Like, but actually going the extra mile
[00:49:36.040 --> 00:49:38.960]   does make that experience as good as it possibly can there.
[00:49:38.960 --> 00:49:40.600]   But yeah, now like look at some of the UX
[00:49:40.600 --> 00:49:42.800]   that we're able to build in like in windsurf
[00:49:42.800 --> 00:49:44.480]   and it's just like, it's fun.
[00:49:44.480 --> 00:49:46.400]   The first time I saw,
[00:49:46.400 --> 00:49:48.320]   'cause now we can do command in the terminal.
[00:49:48.320 --> 00:49:50.480]   Like you can not have to search for a bashman.
[00:49:50.480 --> 00:49:52.360]   The first time I saw that, I was like,
[00:49:52.360 --> 00:49:53.200]   I just started smiling.
[00:49:53.200 --> 00:49:55.200]   And like it's like, it's not like cascade.
[00:49:55.200 --> 00:49:56.480]   It's not like an agentic system right in the lab.
[00:49:56.480 --> 00:49:58.160]   But I'm like, that is just a very, very clear.
[00:49:58.160 --> 00:50:00.000]   - We really couldn't do that in VS Code.
[00:50:00.000 --> 00:50:01.120]   - Yeah, I understand that.
[00:50:01.120 --> 00:50:05.280]   Yeah, I've even went to a 60 line bash command called Please
[00:50:05.280 --> 00:50:07.120]   and you can, you know, do that.
[00:50:07.120 --> 00:50:07.960]   It's like, yeah. - Oh wow.
[00:50:07.960 --> 00:50:08.800]   That's cool.
[00:50:08.800 --> 00:50:10.120]   - Yeah, so please English and energy.
[00:50:10.120 --> 00:50:11.080]   - You know, that's actually really cool
[00:50:11.080 --> 00:50:13.400]   because one of the things I think we believe in
[00:50:13.400 --> 00:50:15.880]   is actually I like products like autocomplete
[00:50:15.880 --> 00:50:18.360]   more than command purely because I don't even want
[00:50:18.360 --> 00:50:19.760]   to open anything up.
[00:50:19.760 --> 00:50:21.520]   So that thing where I just can type
[00:50:21.520 --> 00:50:23.120]   and not have to press some button shortcuts
[00:50:23.120 --> 00:50:24.240]   to go in a different place.
[00:50:24.240 --> 00:50:25.120]   I actually like that too.
[00:50:25.120 --> 00:50:28.280]   - Yeah, and I actually adopted warp, the terminal warp,
[00:50:28.280 --> 00:50:30.200]   initially for that, 'cause they gave that away for free.
[00:50:30.200 --> 00:50:31.040]   - Wow.
[00:50:31.040 --> 00:50:31.880]   - But now it's everywhere.
[00:50:31.880 --> 00:50:34.200]   So like I can turn off a warp and not give Sequoia
[00:50:34.200 --> 00:50:35.720]   my bash commands.
[00:50:35.720 --> 00:50:37.680]   (laughing)
[00:50:37.680 --> 00:50:38.520]   - I don't know.
[00:50:38.520 --> 00:50:40.880]   (laughing)
[00:50:40.880 --> 00:50:41.920]   - No, I use work.
[00:50:41.920 --> 00:50:43.880]   No, no, look, I use work.
[00:50:43.880 --> 00:50:44.720]   Okay, I don't know.
[00:50:44.720 --> 00:50:45.560]   Gotta go on around.
[00:50:45.560 --> 00:50:46.960]   Hopefully somebody will work.
[00:50:46.960 --> 00:50:48.680]   This is like war product feedback.
[00:50:48.680 --> 00:50:50.760]   But they basically had this thing where you can do
[00:50:50.760 --> 00:50:53.400]   kind of like pound and then write in natural language.
[00:50:53.400 --> 00:50:54.400]   - Yeah, you do, okay.
[00:50:54.400 --> 00:50:56.840]   - But then they have also the auto infer
[00:50:56.840 --> 00:50:58.920]   of what your typing is in natural language
[00:50:58.920 --> 00:50:59.880]   and those are different.
[00:50:59.880 --> 00:51:00.800]   When you do the pound,
[00:51:00.800 --> 00:51:03.360]   it's only like it gives you a predetermined command.
[00:51:03.360 --> 00:51:05.800]   When you like talk to it, it generates a flow.
[00:51:05.800 --> 00:51:06.640]   - Okay.
[00:51:06.640 --> 00:51:08.280]   - It's a bit confusing of a UX.
[00:51:08.280 --> 00:51:10.040]   But go back to your post.
[00:51:10.040 --> 00:51:11.560]   You had the three piece.
[00:51:11.560 --> 00:51:12.400]   - Yes.
[00:51:12.400 --> 00:51:13.240]   - Of a UX.
[00:51:13.240 --> 00:51:16.240]   - And present, practical, powerful.
[00:51:16.240 --> 00:51:17.240]   - Actually, that was really good.
[00:51:17.240 --> 00:51:18.080]   I liked it.
[00:51:18.080 --> 00:51:22.120]   - And I think in the beginning being present was enough.
[00:51:22.120 --> 00:51:24.360]   Even when you launch, it's like, oh, you have AI,
[00:51:24.360 --> 00:51:26.160]   like the school, other people don't have it.
[00:51:26.160 --> 00:51:29.200]   Do you think we're still in the practical
[00:51:29.200 --> 00:51:31.280]   where the experience is actually...
[00:51:31.280 --> 00:51:33.880]   The model doesn't even need to be that powerful,
[00:51:33.880 --> 00:51:35.960]   just having better experience is enough.
[00:51:35.960 --> 00:51:39.440]   Or do you think really being able to do the whole...
[00:51:39.440 --> 00:51:40.800]   Because your point was like,
[00:51:40.800 --> 00:51:43.120]   you're powerful when you generate a lot of value
[00:51:43.120 --> 00:51:45.120]   for the customer, you're practical
[00:51:45.120 --> 00:51:47.600]   when you're basically wrapping it in a nicer way.
[00:51:47.600 --> 00:51:48.800]   - Yeah, where are we in the market today?
[00:51:48.800 --> 00:51:50.160]   - I think there's always going to be room
[00:51:50.160 --> 00:51:52.240]   for practical UX, like getting it.
[00:51:52.240 --> 00:51:53.480]   I mean, the command terminal,
